Name;Short name
Neustadt a.d. Aisch-Bad Windsheim;LK Neustadt a.d.Aisch-Bad Windsheim
Schweinfurt;SK Schweinfurt
Oberhavel;LK Oberhavel
Ludwigslust-Parchim;LK Ludwigslust-Parchim
Jena;SK Jena
Hildesheim;LK Hildesheim
Nienburg (Weser);LK Nienburg (Weser)
Oldenburg (Oldb);SK Oldenburg
Mülheim an der Ruhr;SK Mülheim a.d.Ruhr
Paderborn;LK Paderborn
Ennepe-Ruhr-Kreis;LK Ennepe-Ruhr-Kreis
Frankenthal (Pfalz);SK Frankenthal
Donnersbergkreis;LK Donnersbergkreis
Hof;SK Hof
Neunkirchen;LK Neunkirchen
Oder-Spree;LK Oder-Spree
Erzgebirgskreis;LK Erzgebirgskreis
Salzlandkreis;LK Salzlandkreis
Cuxhaven;LK Cuxhaven
Duisburg;SK Duisburg
Rhein-Kreis Neuss;LK Rhein-Kreis Neuss
Leverkusen;SK Leverkusen
Kaiserslautern;LK Kaiserslautern
Ortenaukreis;LK Ortenaukreis
Biberach;LK Biberach
Miesbach;LK Miesbach
Amberg;SK Amberg
Bayreuth;SK Bayreuth
Potsdam;SK Potsdam
Jerichower Land;LK Jerichower Land
Wartburgkreis;LK Wartburgkreis
Berlin Neukölln;SK Berlin Neukölln
Berlin Lichtenberg;SK Berlin Lichtenberg
Berlin Tempelhof-Schöneberg;SK Berlin Tempelhof-Schöneberg
Northeim;LK Northeim
Osnabrück;SK Osnabrück
Bonn;SK Bonn
Rhein-Sieg-Kreis;LK Rhein-Sieg-Kreis
Gelsenkirchen;SK Gelsenkirchen
Coesfeld;LK Coesfeld
Recklinghausen;LK Recklinghausen
Hagen;SK Hagen
Rhein-Lahn-Kreis;LK Rhein-Lahn-Kreis
Ludwigshafen am Rhein;SK Ludwigshafen
Emmendingen;LK Emmendingen
Waldshut;LK Waldshut
Garmisch-Partenkirchen;LK Garmisch-Partenkirchen
Coburg;SK Coburg
Lindau (Bodensee);LK Lindau
Schwerin;SK Schwerin
Nordwestmecklenburg;LK Nordwestmecklenburg
Gotha;LK Gotha
Altenburger Land;LK Altenburger Land
Pinneberg;LK Pinneberg
Bochum;SK Bochum
Main-Taunus-Kreis;LK Main-Taunus-Kreis
Zweibrücken;SK Zweibrücken
Südliche Weinstraße;LK Südliche Weinstraße
Ostalbkreis;LK Ostalbkreis
Freudenstadt;LK Freudenstadt
Eichstätt;LK Eichstätt
Hof;LK Hof
Wunsiedel i. Fichtelgebirge;LK Wunsiedel i.Fichtelgebirge
Ansbach;SK Ansbach
Schwabach;SK Schwabach
Anhalt-Bitterfeld;LK Anhalt-Bitterfeld
Sonneberg;LK Sonneberg
Nordfriesland;LK Nordfriesland
Salzgitter;SK Salzgitter
Region Hannover;Region Hannover
Düsseldorf;SK Düsseldorf
Bernkastel-Wittlich;LK Bernkastel-Wittlich
Esslingen;LK Esslingen
Heilbronn;LK Heilbronn
Reutlingen;LK Reutlingen
Bodenseekreis;LK Bodenseekreis
Neuburg-Schrobenhausen;LK Neuburg-Schrobenhausen
Bamberg;LK Bamberg
Würzburg;LK Würzburg
Kaufbeuren;SK Kaufbeuren
